,startime,endtime,latitude,longitude,product,email,filenickname,abovebelowkm,leftrightkm,origName
73,2015-01-01,2021-01-01,41.85,-119.64,MCD15A3H,libonaniup@gmail.com,NVD5W,18,18,NV_Denio_52_WSW
74,2015-01-01,2021-01-01,36.62,-116.02,MCD15A3H,libonaniup@gmail.com,NVM3S,18,18,NV_Mercury_3_SSW
75,2015-01-01,2021-01-01,42.44,-76.25,MCD15A3H,libonaniup@gmail.com,NYI1E,18,18,NY_Ithaca_13_E
76,2015-01-01,2021-01-01,41.79,-73.74,MCD15A3H,libonaniup@gmail.com,NYM3W,18,18,NY_Millbrook_3_W
77,2015-01-01,2021-01-01,40.37,-81.78,MCD15A3H,libonaniup@gmail.com,OHC8N,18,18,OH_Coshocton_8_NNE
78,2015-01-01,2021-01-01,40.76,-81.91,MCD15A3H,libonaniup@gmail.com,OHW3S,18,18,OH_Wooster_3_SSE
79,2015-01-01,2021-01-01,36.6,-101.59,MCD15A3H,libonaniup@gmail.com,OKG2E,18,18,OK_Goodwell_2_E
80,2015-01-01,2021-01-01,36.57,-101.61,MCD15A3H,libonaniup@gmail.com,OKG2S,18,18,OK_Goodwell_2_SE
81,2015-01-01,2021-01-01,36.12,-97.09,MCD15A3H,libonaniup@gmail.com,OKS2W,18,18,OK_Stillwater_2_W
82,2015-01-01,2021-01-01,36.13,-97.11,MCD15A3H,libonaniup@gmail.com,OKS5W,18,18,OK_Stillwater_5_WNW
83,2015-01-01,2021-01-01,43.27,-124.32,MCD15A3H,libonaniup@gmail.com,ORCB8S,18,18,OR_Coos_Bay_8_SW
84,2015-01-01,2021-01-01,44.42,-123.33,MCD15A3H,libonaniup@gmail.com,ORC1S,18,18,OR_Corvallis_10_SSW
85,2015-01-01,2021-01-01,44.56,-119.65,MCD15A3H,libonaniup@gmail.com,ORJD3W,18,18,OR_John_Day_35_WNW
86,2015-01-01,2021-01-01,43.47,-119.69,MCD15A3H,libonaniup@gmail.com,ORR1W,18,18,OR_Riley_10_WSW
87,2015-01-01,2021-01-01,39.86,-75.79,MCD15A3H,libonaniup@gmail.com,PAA2N,18,18,PA_Avondale_2_N
88,2015-01-01,2021-01-01,41.49,-71.54,MCD15A3H,libonaniup@gmail.com,RIK1N,18,18,RI_Kingston_1_NW
89,2015-01-01,2021-01-01,41.48,-71.54,MCD15A3H,libonaniup@gmail.com,RIK1W,18,18,RI_Kingston_1_W
90,2015-01-01,2021-01-01,33.36,-81.33,MCD15A3H,libonaniup@gmail.com,SCB3W,18,18,SC_Blackville_3_W
91,2015-01-01,2021-01-01,33.15,-79.36,MCD15A3H,libonaniup@gmail.com,SCM7N,18,18,SC_McClellanville_7_NE
92,2015-01-01,2021-01-01,45.71,-99.13,MCD15A3H,libonaniup@gmail.com,SDA3W,18,18,SD_Aberdeen_35_WNW
93,2015-01-01,2021-01-01,45.52,-103.3,MCD15A3H,libonaniup@gmail.com,SDB1E,18,18,SD_Buffalo_13_ESE
94,2015-01-01,2021-01-01,44.02,-100.35,MCD15A3H,libonaniup@gmail.com,SDP2S,18,18,SD_Pierre_24_S
95,2015-01-01,2021-01-01,43.73,-96.62,MCD15A3H,libonaniup@gmail.com,SDSF1N,18,18,SD_Sioux_Falls_14_NNE
96,2015-01-01,2021-01-01,36.01,-85.13,MCD15A3H,libonaniup@gmail.com,TNC7N,18,18,TN_Crossville_7_NW
97,2015-01-01,2021-01-01,30.62,-98.08,MCD15A3H,libonaniup@gmail.com,TXA3N,18,18,TX_Austin_33_NW
98,2015-01-01,2021-01-01,32.04,-100.25,MCD15A3H,libonaniup@gmail.com,TXB1N,18,18,TX_Bronte_11_NNE
99,2015-01-01,2021-01-01,26.53,-98.06,MCD15A3H,libonaniup@gmail.com,TXE1N,18,18,TX_Edinburg_17_NNE
100,2015-01-01,2021-01-01,31.62,-102.81,MCD15A3H,libonaniup@gmail.com,TXM6E,18,18,TX_Monahans_6_ENE
101,2015-01-01,2021-01-01,33.96,-102.77,MCD15A3H,libonaniup@gmail.com,TXM1S,18,18,TX_Muleshoe_19_S
102,2015-01-01,2021-01-01,31.78,-95.72,MCD15A3H,libonaniup@gmail.com,TXP6W,18,18,TX_Palestine_6_WNW
103,2015-01-01,2021-01-01,29.35,-103.21,MCD15A3H,libonaniup@gmail.com,TXPJ2N,18,18,TX_Panther_Junction_2_N
104,2015-01-01,2021-01-01,28.3,-96.82,MCD15A3H,libonaniup@gmail.com,TXPA3N,18,18,TX_Port_Aransas_32_NNE
105,2015-01-01,2021-01-01,41.62,-112.54,MCD15A3H,libonaniup@gmail.com,UTBC2W,18,18,UT_Brigham_City_28_WNW
106,2015-01-01,2021-01-01,37.29,-75.93,MCD15A3H,libonaniup@gmail.com,VACC5E,18,18,VA_Cape_Charles_5_ENE
107,2015-01-01,2021-01-01,38.0,-78.47,MCD15A3H,libonaniup@gmail.com,VAC2S,18,18,VA_Charlottesville_2_SSE
108,2015-01-01,2021-01-01,48.54,-121.45,MCD15A3H,libonaniup@gmail.com,WAD2N,18,18,WA_Darrington_21_NNE
109,2015-01-01,2021-01-01,47.51,-123.81,MCD15A3H,libonaniup@gmail.com,WAQ4N,18,18,WA_Quinault_4_NE
110,2015-01-01,2021-01-01,47.42,-117.53,MCD15A3H,libonaniup@gmail.com,WAS1S,18,18,WA_Spokane_17_SSW
111,2015-01-01,2021-01-01,44.06,-90.17,MCD15A3H,libonaniup@gmail.com,WIN5W,18,18,WI_Necedah_5_WNW
112,2015-01-01,2021-01-01,39.01,-79.47,MCD15A3H,libonaniup@gmail.com,WVE2E,18,18,WV_Elkins_21_ENE
113,2015-01-01,2021-01-01,42.68,-108.67,MCD15A3H,libonaniup@gmail.com,WYL1S,18,18,WY_Lander_11_SSE
114,2015-01-01,2021-01-01,43.66,-110.71,MCD15A3H,libonaniup@gmail.com,WYM1N,18,18,WY_Moose_1_NNE
115,2015-01-01,2021-01-01,44.52,-104.44,MCD15A3H,libonaniup@gmail.com,WYS8N,18,18,WY_Sundance_8_NNW
